--------- beginning of main
--------- beginning of system
06-25 06:43:22.940 I/NCL     (28561): [MF:LLadd cls=cs5.yj0] d=https://res.wx.qq.com/t/fed_upload/3f215e83-a6c6-47e9-9834-37c48b5fc2f3/U+1F643.png m=15 p=https://res.wx.qq.com/t/fed_upload/3f215e83-a6c6-47e9-9834-37c48b5fc2f3/U+1F643.png q=
06-25 06:43:22.941 I/NCL     (28561): [MF:LLadd cls=cs5.tk0] e=http://wxapp.tc.qq.com/256/20350/stodownload?m=69b6da5abdade9ba32bc8dc60ef3d894&filekey=30350201010421301f0202010004025348041069b6da5abdade9ba32bc8dc60ef3d894020301f7d9040d00000004627466730000000132&hy=SH&storeid=56a3bcd140003550fcbafecca0000010000004f7e53482f93c1f157245ea95&bizid=1023 f=http://wxapp.tc.qq.com/256/20304/stodownload?m=069886a9423321e29acd8a88ad4a5130&filekey=30350201010421301f02020100040253480410069886a9423321e29acd8a88ad4a513002030388b0040d00000004627466730000000132&hy=SH&storeid=56a3bcd14000371a7cbafecca0000010000004f5053481f93a561572391670&bizid=1023 g= h=
06-25 06:43:22.941 I/NCL     (28561): [SF:ALLseen] #21 addAll first=com.tencent.mm.app.WeChatSplashActivity size=1
06-25 06:43:22.941 I/NCL     (28561): [MF] addAll firstItem=com.tencent.mm.app.WeChatSplashActivity size=1
06-25 06:43:22.958 I/NCL     (28561): [MF:LLadd cls=cs5.bj0] d=U+1F643 g=v1_89e357388487ef05315255a93c1edbf8 h=emoji_or_smiley_merge_title
06-25 06:43:22.962 I/NCL     (28561): [MF:LLadd cls=cs5.gk0] d=v1_2963e6acca191ea41762762fbe9d53e4 e=wxid_d3x7k0ysa9mf22 f=VSsxRjY0Mw== h=U+1F643
06-25 06:43:22.968 I/NCL     (28561): [MF:LLadd cls=ch4.x] d=U+1F643 g=v1_89e357388487ef05315255a93c1edbf8 h=emoji_or_smiley_merge_title
06-25 06:43:22.982 I/NCL     (28561): [MF:LLadd cls=cs5.u10]
06-25 06:43:23.015 I/NCL     (28561): [CF:L4] entry adapter=v0 cleaning=false state=V
06-25 06:43:23.015 I/NCL     (28561): [CF:L4] cleaned=0
06-25 06:43:23.015 I/NCL     (28561): [CF:L4] entry adapter=v0 cleaning=false state=V
06-25 06:43:23.020 I/NCL     (28561): [PF:UNREADFIX] tab CALLED arg=42 active=false h=0
06-25 06:43:23.021 I/NCL     (28561): [SF:ALLseen] #22 addAll first=mx5.a1 size=1
06-25 06:43:23.021 I/NCL     (28561): [MF] addAll firstItem=mx5.a1 size=1
06-25 06:43:23.022 I/NCL     (28561): [MF] addAll firstItem=com.tencent.mm.plugin.performance.watchdogs.y0 size=67
06-25 06:43:23.022 I/NCL     (28561): [PF:UNREADFIX] title CALLED arg="寰俊(42)" active=false h=0
06-25 06:43:23.027 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.app.TempAppForegroundNotifyDeprecated$4]
06-25 06:43:23.027 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.app.TempAppForegroundNotifyDeprecated$5]
06-25 06:43:23.060 I/NCL     (28561): [PF:UNREADFIX] tab CALLED arg=42 active=false h=0
06-25 06:43:23.063 I/NCL     (28561): [PF:UNREADFIX] title CALLED arg="寰俊(42)" active=false h=0
06-25 06:43:23.067 I/NCL     (28561): [SF:ALLseen] #23 addAll first=java.net.Proxy size=1
06-25 06:43:23.068 I/NCL     (28561): [MF] addAll firstItem=java.net.Proxy size=1
06-25 06:43:23.086 I/NCL     (28561): [MF:LLadd cls=z15.yj]
06-25 06:43:23.133 I/NCL     (28561): [PF:UNREADFIX] tab CALLED arg=42 active=false h=0
06-25 06:43:23.135 I/NCL     (28561): [PF:UNREADFIX] title CALLED arg="寰俊(42)" active=false h=0
06-25 06:43:23.161 I/NCL     (28561): [MF:LLadd cls=lz2.i]
06-25 06:43:23.161 I/NCL     (28561): [MF:LLadd cls=lz2.j]
06-25 06:43:23.161 I/NCL     (28561): [MF:LLadd cls=lz2.k]
06-25 06:43:23.161 I/NCL     (28561): [MF:LLadd cls=lz2.f]
06-25 06:43:23.161 I/NCL     (28561): [MF:LLadd cls=lz2.b]
06-25 06:43:23.161 I/NCL     (28561): [MF:LLadd cls=lz2.h]
06-25 06:43:23.161 I/NCL     (28561): [MF:LLadd cls=lz2.a]
06-25 06:43:23.161 I/NCL     (28561): [MF:LLadd cls=lz2.g]
06-25 06:43:23.229 I/NCL     (28561): [MF:LLadd cls=com.tencent.wechat.aff.newlife.SearchSyncClientCustomInfo$LiteAppVersionInfo] appid=wxalite2fd372f050eecd471a4392786dfae78c version=1.356.0
06-25 06:43:23.230 I/NCL     (28561): [MF:LLadd cls=vl1.c] b=id c=hello d=ok
06-25 06:43:23.244 I/NCL     (28561): [MF:LLadd cls=wh.s]
06-25 06:43:23.245 I/NCL     (28561): [SF:ALLseen] #24 addAll first=android.media.AudioPatch size=5
06-25 06:43:23.246 I/NCL     (28561): [MF] addAll firstItem=android.media.AudioPatch size=5
06-25 06:43:23.274 I/NCL     (28561): [MF:LLadd cls=zl1.d]
06-25 06:43:23.277 I/NCL     (28561): [MF:LLadd cls=vr.g0] TAG=MicroMsg.FeatureService
06-25 06:43:23.293 I/NCL     (28561): [MF:LLadd cls=zl1.l] m=MM.Roam.RoamLiteBanner
06-25 06:43:23.298 I/NCL     (28561): [MF:LLadd cls=ch4.y0] d=1042
06-25 06:43:23.302 I/NCL     (28561): [PF:UNREADFIX] title CALLED arg="寰俊(42)" active=false h=0
06-25 06:43:23.307 I/NCL     (28561): [MF:LLadd cls=ch4.l0] d=textstatus_customtitle_expt_param_202208 e=fullscreen_title_icon
06-25 06:43:23.310 I/NCL     (28561): [SF:ALLseen] #25 addAll first=ki3.u size=1
06-25 06:43:23.315 I/NCL     (28561): [MF:LLadd cls=pp0.a0]
06-25 06:43:23.327 I/NCL     (28561): [MF:LLadd cls=pp0.j0]
06-25 06:43:23.332 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.vfs.l7]
06-25 06:43:23.332 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.matrix.monitor.m0]
06-25 06:43:23.332 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.normsg.f]
06-25 06:43:23.335 I/NCL     (28561): [MF] addAll firstItem=ki3.u size=1
06-25 06:43:23.373 I/NCL     (28792): [PF:LLseen:push] #1 ni5.m
06-25 06:43:23.374 I/NCL     (28561): [MF:LLadd cls=dm1.a0]
06-25 06:43:23.415 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.plugin.music.ui.j]
06-25 06:43:23.416 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.plugin.report.service.i]
06-25 06:43:23.425 I/NCL     (28561): [MF:LLadd cls=z15.x57] f=a89fd0b626fd9c66a8264d30778bc049 g=magicconfig202503
06-25 06:43:23.466 I/NCL     (28792): [PF:LLseen:push] #2 ii5.b
06-25 06:43:23.512 I/NCL     (28561): [MF:LLadd cls=fh5.e1]
06-25 06:43:23.512 I/NCL     (28561): [MF:LLadd cls=kh5.m]
06-25 06:43:23.515 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.plugin.wenote.ui.nativenote.i2]
06-25 06:43:23.525 I/NCL     (28561): [MF:LLadd cls=z15.xz4] d=device-name e=Xiaomi-MI 9
06-25 06:43:23.539 I/NCL     (28561): [MF:LLadd cls=z15.zj5] e=闄勮繎甯哥敤
06-25 06:43:23.560 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.plugin.expt.ui.z]
06-25 06:43:23.560 I/NCL     (28561): [MF] addAll firstItem=z15.xz4 size=14
06-25 06:43:23.569 I/NCL     (28561): [MF:LLadd cls=os1.b]
06-25 06:43:23.570 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.plugin.appbrand.config.WxaAttributes$WxaVersionModuleInfo] d=/npm/@mtfe/yoda-static-weapp/yoda_modules/modules/ e=2524774dc76b63d118431f48d5a6ffae m=
06-25 06:43:23.609 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.plugin.appbrand.config.WxaAttributes$WxaPluginCodeInfo] d=wx4d2deeab3aed6e5a f=c3a852282d18ab1e4658cce1e36968bb g=__plugin__/wx4d2deeab3aed6e5a n= o=
06-25 06:43:23.609 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.plugin.appbrand.config.WxaAttributes$WxaWidgetInfo] e=b8501bef57a1dabbdcd81f1f6d67259d
06-25 06:43:23.610 I/NCL     (28561): [MF:LLadd cls=wc5.b]
06-25 06:43:23.620 I/NCL     (28561): [MF:LLadd cls=hh.y1]
06-25 06:43:23.648 I/NCL     (28561): [MF:LLadd cls=sh5.t0] a=clipboard b=vivo c=vivo_clipboard_title d=vivo
06-25 06:43:23.651 I/NCL     (28561): [MF:LLadd cls=xx4.q3] a=MODEL_VIO_CONFIG d=a89fd0b626fd9c66a8264d30778bc049 e=magicconfig202503
06-25 06:43:23.652 I/NCL     (28561): [MF:LLadd cls=sh5.k0]
06-25 06:43:23.652 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.pluginsdk.ui.chat.o1]
06-25 06:43:23.656 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.plugin.appbrand.appusage.AppBrandRecentTaskInfo] v=119855199 w=gh_870576f3c6f9@app x=缇庡洟涓ㄥ鍗栧洟璐壒浠风編椋熼厭搴楃數褰?y=http://wx.qlogo.cn/mmhead/OM4v0FU2h0uaKUxzTLeRmuQ9GibmzugclJyqD36q6AYfaRFUoYALQsI48wd9JH8c9RGfmvloWgQ8/96 d=gh_870576f3c6f9@app e=wxde8ac0a21135c07d h=缇庡洟涓ㄥ鍗栧洟璐壒浠风編椋熼厭搴楃數褰?m= n=http://wx.qlogo.cn/mmhead/OM4v0FU2h0uaKUxzTLeRmuQ9GibmzugclJyqD36q6AYfaRFUoYALQsI48wd9JH8c9RGfmvloWgQ8/96 t=
06-25 06:43:23.699 I/NCL     (28561): [MF:LLadd cls=yl1.f]
06-25 06:43:23.702 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.ui.conversation.banner.a0]
06-25 06:43:23.710 I/NCL     (28561): [MF] addAll firstItem=l25.p0 size=5
06-25 06:43:23.713 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.ui.conversation.banner.k0] G=http://w.mail.qq.com/cgi-bin/report_mm?failuretype=1&devicetype=2&clientversion=%s&os=%s&username=%s&iport=%s&t=weixin_bulletin&f=xhtml&lang=%s
06-25 06:43:23.713 I/NCL     (28561): [MF:LLadd cls=ch4.f0] d=zh_CN e=
06-25 06:43:23.723 I/NCL     (28792): [PF:LLseen:push] #3 com.tencent.mm.ipcinvoker.extension.d
06-25 06:43:23.723 I/NCL     (28792): [PF:LLseen:push] #4 com.tencent.mm.ipcinvoker.extension.b
06-25 06:43:23.723 I/NCL     (28792): [PF:LLseen:push] #5 com.tencent.mm.ipcinvoker.extension.n
06-25 06:43:23.723 I/NCL     (28792): [PF:LLseen:push] #6 com.tencent.mm.ipcinvoker.wx_extension.l0
06-25 06:43:23.723 I/NCL     (28792): [PF:LLseen:push] #7 com.tencent.mm.ipcinvoker.wx_extension.e
06-25 06:43:23.723 I/NCL     (28792): [PF:LLseen:push] #8 com.tencent.mm.ipcinvoker.wx_extension.m0
06-25 06:43:23.742 I/NCL     (28561): [MF:LLadd cls=dr.w]
06-25 06:43:23.742 I/NCL     (28561): [MF:LLadd cls=dr.v]
06-25 06:43:23.745 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.pluginsdk.ui.chat.h7]
06-25 06:43:23.753 I/NCL     (28792): [PF:LLseen:push] #9 com.tencent.mm.feature.performance.scheduler.o
06-25 06:43:23.773 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.ui.conversation.banner.l0]
06-25 06:43:23.775 I/NCL     (28792): [PF:LLseen:push] #10 com.tencent.mm.feature.performance.adpf.z
06-25 06:43:23.775 I/NCL     (28561): [MF:LLadd cls=z15.qj4] d=audio/amr-wb
06-25 06:43:23.792 I/NCL     (28561): [MF:LLadd cls=wq.b]
06-25 06:43:23.802 I/NCL     (28561): [MF:LLadd cls=wq.t]
06-25 06:43:23.802 I/NCL     (28561): [MF:LLadd cls=wq.i0]
06-25 06:43:23.812 I/NCL     (28561): [SF:ALLseen] #26 addAll first=com.tencent.mm.plugin.multitask.ui.panel.OverScrollMultiTaskRecyclerView size=1
06-25 06:43:23.833 I/NCL     (28561): [MF] addAll firstItem=com.tencent.mm.plugin.multitask.ui.panel.OverScrollMultiTaskRecyclerView size=1
06-25 06:43:23.834 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.ui.conversation.banner.q0]
06-25 06:43:23.840 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.ui.conversation.banner.e]
06-25 06:43:23.841 I/NCL     (28561): [MF:LLadd cls=g85.e] q=
06-25 06:43:23.841 I/NCL     (28561): [MF] addAll firstItem=com.tencent.mm.plugin.music.ui.j size=7
06-25 06:43:23.842 I/NCL     (28561): [MF] addAll firstItem=zl1.d size=4
06-25 06:43:23.842 I/NCL     (28561): [MF] addAll firstItem=com.tencent.mm.ui.conversation.banner.q0 size=1
06-25 06:43:23.842 I/NCL     (28561): [MF] addAll firstItem=com.tencent.mm.ui.conversation.banner.e size=1
06-25 06:43:23.850 I/NCL     (28792): [PF:LLseen:push] #11 android.util.Pair
06-25 06:43:23.886 I/NCL     (28792): [PF:LLseen:push] #12 mq5.e
06-25 06:43:23.908 I/NCL     (28792): [PF:LLseen:push] #13 android.app.SharedPreferencesImpl$EditorImpl$1
06-25 06:43:23.918 I/NCL     (28792): [PF:LLseen:push] #14 android.app.SharedPreferencesImpl$2
06-25 06:43:23.960 I/NCL     (28561): [MF:LLadd cls=com.tencent.wechat.aff.newlife.FinderTabTipsDSLRenderTmpl$RenderNode]
